,Dice Roll,Face Pair,Number Pair,Probability
0,1.0,0.0,0.0,0.6761104441776711
1,1.0,0.0,1.0,0.25114045618247294
2,1.0,1.0,0.0,0.07274909963985593
3,1.0,1.0,1.0,0.003989288022901465
4,2.0,0.0,0.0,0.5070828331332533
5,2.0,0.0,1.0,0.37334933973589435
6,2.0,1.0,0.0,0.10433096315449257
7,2.0,1.0,1.0,0.018838304552590265
8,3.0,0.0,0.0,0.34524788638859805
9,3.0,0.0,1.0,0.47913502553230786
10,3.0,1.0,0.0,0.12548868974758481
11,3.0,1.0,1.0,0.051587247010097
12,4.0,0.0,0.0,0.21015088736697268
13,4.0,0.0,1.0,0.5536516321464898
14,4.0,1.0,0.0,0.13036643391434705
15,4.0,1.0,1.0,0.10618624451132477
16,5.0,0.0,0.0,0.11208047326238545
17,5.0,0.0,1.0,0.5882662094938309
18,5.0,1.0,0.0,0.11843862400862998
19,5.0,1.0,1.0,0.1812883639188259
20,6.0,0.0,0.0,0.05094566966472065
21,6.0,0.0,1.0,0.584238327923369
22,6.0,1.0,0.0,0.09447282868951258
23,6.0,1.0,1.0,0.27035609001109356
